acc. date,type,reg.,operator,fat.,location,dmg
9-May-04,ATR 72-212,N438AT,"American Eagle Airlines, opb Executive Airlines",0,San Juan-Luis Munoz Marin International Airport (SJU),w/o
4-Sep-03,IRMA/Britten-Norman BN-2A-27 Islander,N630VC,Venagas Construction Corporation,0,near Cayey,w/o
30-Aug-03,Cessna 208B Grand Caravan,N786DM,Isla Nena Air Services,0,near Culebra Airport (CPX),sub
8-Feb-03,ATR 72-212,N448AM,American Eagle Airlines,0,"San Juan, PR",non
7-Aug-02,Lockheed MC-130H Combat Talon II,90-0161,United States Air Force - USAF,10,near Caguas,w/o
20-Jun-02,Cessna 208B Grand Caravan,N786DM,Isla Nena Air Services,0,Vieques Airport (VQS),sub
4-Apr-01,Douglas DC-3A-S1C3G,N19BA,Roblex Aviation,0,"1,6 km E of San Juan-Luis Muñoz Marín International Airport (SJU)",w/o
23-Dec-99,Cessna 208B Grand Caravan,N1315A,M&N Aviation,0,near Adjuntas,w/o
25-Oct-98,ATR 42-312,N143DD,"American Eagle Airlines, opb Executive Airlines",0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
24-Sep-98,Convair CV-240-13,N91237,Trans Florida Airlines,0,"3,5 km E of San Juan-Luis Muñoz Marín International Airport (SJU)",sub
18-Sep-98,GAF Nomad N.22S Searchmaster L,N6302W,United States Customs Service,0,260 km SW of Puerto Rico,min
18-Sep-98,GAF Nomad N.22S Searchmaster L,N6305U,United States Customs Service,1,"1,5 km S off Mona Island",w/o
30-May-98,Convair CV-240-17,N87949,Trans Florida Airlines,0,Aguadilla-Borinquen Airport (BQN),w/o
7-Aug-97,Britten-Norman BN-2A Islander,N1202S,Aero Bieke,0,Fajardo Airport (FAJ),w/o
30-Jun-97,Convair CV-240-53,N344MM,Silver Express,0,San Juan-Luis Munoz Marin International Airport (SJU),w/o
22-May-97,Convair T-29B (CV-240),N355T,Dodita Air Cargo,0,off Luquillo,w/o
11-May-97,McDonnell Douglas DC-10-30,G-NIUK,Flying Colours Airlines Inc,0,San Juan,non
31-Oct-96,Douglas DC-3C,N37AP,Flamenco Airways,0,3 km from San Juan-Isla Grande,sub
12-Mar-95,Lockheed L-1011 TriStar 500,N724DA,Delta Air Lines,0,San Juan-Luis Muñoz Marín International Airport (SJU),min
12-Mar-95,Shorts 360-200,N376MQ,"American Eagle, opb Executive Airlines",0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
7-Oct-93,Douglas DC-3C,N781T,Tol Air Services,0,San Juan,sub
1-Dec-92,Canadair CL-44D4-6,N100BB,Tradewinds International Airlines,0,Aguadilla-Borinquen Airport (BQN),w/o
7-Jun-92,CASA C-212 Aviocar 200,N355CA,"American Eagle, opb Executive Airlines",5,"1,2 km SW of Mayaguez-Eugenio M. de Hostos Airport (MAZ)",w/o
3-Feb-92,Douglas C-54Q (DC-4),N74AF,West Indies Air Transport,0,Aguadilla-Borinquen Airport (BQN),w/o
3-Feb-92,Lockheed L-1049H Super Constellation,HI-542CT,Aerolineas Mundo - AMSA,0,Aguadilla-Borinquen Airport (BQN),w/o
10-May-91,Douglas R4D-7 (DC-3),N134FS,Four Star Air Cargo,2,Aguadilla-Borinquen Airport (BQN),w/o
5-Apr-90,Lockheed C-121C Super Constellation,HI-515CT,Aerolineas Mundo - AMSA,1,off Levittown,w/o
20-Jan-90,McDonnell Douglas DC-10-10,N124AA,American Airlines,0,"San Juan, PR",non
18-Sep-89,Martin 4-0-4,N40425,Aero Virgin Islands - AVI,0,San Juan-Luis Muñoz Marín International Airport (SJU),w/o
18-Sep-89,Douglas DC-3-208,N4425N,Aero Virgin Islands - AVI,0,San Juan-Luis Muñoz Marín International Airport (SJU),w/o
18-Sep-89,Douglas DC-3A,N1159S,Air Caribbean,0,Humacao Airport (HUC),w/o
18-Sep-89,Britten-Norman BN-2A Islander,N861JA,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A Islander,N588JA,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A-6 Islander,N197BN,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A-27 Islander,N8491B,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A Islander,N44DW,Flamenco Airways,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A-8 Islander,N39MN,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A Islander,N457SA,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A-8 Islander,N38MN,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Douglas C-49J (DC-3),N28346,Aero Virgin Islands - AVI,0,San Juan-Luis Muñoz Marín International Airport (SJU),w/o
18-Sep-89,Douglas C-47A-35-DL (DC-3),N4577Z,Aero Virgin Islands - AVI,0,San Juan-Luis Muñoz Marín International Airport (SJU),w/o
18-Sep-89,Britten-Norman BN-2A Islander,N290VL,Vieques Air Link,0,Vieques Airport (VQS),w/o
18-Sep-89,Britten-Norman BN-2A-26 Islander,N112JC,Vieques Air Link,0,Vieques Airport (VQS),w/o
12-Jul-89,Airbus A300B4-605R,N7062A,American Airlines,,"San Juan, PR",non
1-Mar-89,Douglas C-49J (DC-3),N28PR,Borinquen Air,0,"3,2 km from San Juan-Luis Muñoz Marín International Airport (SJU)",w/o
26-Dec-87,Boeing 727-200,N705AA,American Airlines,0,"San Juan, Puerto Rico",min
5-Jun-87,Grumman G-73T Turbo Mallard,,Virgin Islands Seaplane Shuttle,0,San Juan,non
8-May-87,CASA C-212 Aviocar 200,N432CA,"American Eagle, opb Executive Air Charter",2,"0,2 km from Mayagüez Airport (MAZ)",w/o
29-Nov-86,de Havilland Canada DHC-6 Twin Otter 200,N930MA,Eastern Metro Express Airlines,0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
29-Oct-86,de Havilland Canada DHC-3 Otter,N778L,Jamie Munoz,1,near San Juan-Isla Grande Airport (SIG),w/o
22-Jul-86,Douglas DC-3A,N27PR,Borinquen Air,1,ca 2 km W of San Juan-Luis Muñoz Marín International Airport (SJU),w/o
27-Jun-85,McDonnell Douglas DC-10-10,N129AA,American Airlines,0,San Juan-Luis Munoz Marin International Airport (SJU),sub
2-Aug-84,Britten-Norman BN-2A Islander,N589SA,Vieques Air Link,9,"0,8 km off Vieques Airport (VQS)",w/o
17-Aug-83,Beechcraft A100 King Air,N129D,Padosa Productions,0,Vieques Airport (VQS),w/o
10-Jun-83,Boeing 727-2J1 Adv.,HI-242,Dominicana De Aviation,0,"San Juan, PR",non
20-Jul-81,Britten-Norman BN-2A-6 Islander,N116DW,Dorado Wings,0,San Juan-Isla Verde International Airport (SJU),w/o
5-Feb-81,Lockheed L-1011 TriStar,,Eastern Air Lines,0,San Juan-Isla Verde International Airport (SJU),non
26-Aug-79,Convair CV-440,N14478,Cornerstone Construction Inc. ?,0,San Juan-Isla Verde International Airport (SJU),w/o
24-Feb-78,Douglas DC-6BF,N6103C,West Indies Air Transport,0,San Juan-Isla Verde International Airport (SJU),w/o
2-Jan-78,Douglas DC-3-201D,N15598,Aero Virgin Islands - AVI,0,"0,3km N off Río Grande Municipality",w/o
19-Dec-77,Britten-Norman BN-2A-6 Islander,N862JA,Vieques Air Link,5,off Vieques,w/o
8-Feb-77,Curtiss C-46D-5-CU Commando,HI-208,Aerolineas Argo,0,off San Juan-Isla Grande Airport (SIG),w/o
15-Sep-75,Britten-Norman BN-2A-6 Islander,N122DW,Dorado Wings,0,San Juan-Isla Verde International Airport (SJU),w/o
8-Aug-75,Curtiss C-46F-1-CU Commando,N4873V,Rich International Airways,0,"0,8 km NW off Aguadilla-Borinquen Airport (BQN)",w/o
11-Jul-75,de Havilland DH-114 Prinair Heron 2,N570PR,Prinair,0,San Juan-Isla Verde International Airport (SJU),sub
31-Dec-72,Douglas DC-7CF,N500AE,American Express Leasing,5,off San Juan-Isla Verde International Airport (SJU),w/o
17-Jul-72,Lockheed P-2H Neptune,148354,United States Navy,,off Roosevelt Roads-Roosevelt NAS (NRR),w/o
24-Jun-72,de Havilland DH-114 Prinair Heron 2B,N554PR,Prinair,5,Ponce-Mercedita Airport (PSE),w/o
21-Dec-71,Britten-Norman BN-2 Islander,N589JA,Vieques Air Link,0,near Culebra Airport (CPX),w/o
21-Dec-70,de Havilland DH-114 Heron,,Prinair,0,San Juan,unk
22-Sep-70,McDonnell Douglas DC-8,,Eastern Air Lines,0,San Juan,unk
9-Sep-70,Britten-Norman BN-2A Islander,N855JA,San Juan Air,1,Orocovis,w/o
4-Aug-70,Grumman HU-16B Albatross,51-5305,United States Air Force - USAF,,Aguadilla-Ramey AFB (BQN),w/o
13-Jun-70,Douglas C-47A-25-DK (DC-3),N1549V,Conner Air Lines,0,off San Juan-Isla Verde International Airport (SJU),w/o
10-Sep-69,McDonnell Douglas DC-8,,Eastern Air Lines,0,San Juan-Isla Verde International Airport (SJU),non
5-Mar-69,de Havilland DH-114 Heron 2D,N563PR,Prinair,19,24 km SE of San Juan,w/o
14-Dec-68,Fairchild C-119G Flying Boxcar,51-2667,United States Air Force - USAF,8,37 km ESE of San Juan,w/o
19-Feb-67,Lockheed P-2H Neptune,147955,United States Navy,0,Roosevelt Roads-Roosevelt NAS (NRR),w/o
23-Jan-67,Convair CV-640,N3408,Caribair,0,San Juan-Isla Verde International Airport (SJU/TJSJ),w/o
22-Sep-64,Douglas C-47A-25-DK (DC-3),N1549V,Caribair,0,San Juan-Isla Verde International Airport (SJU),sub
23-Aug-64,Lockheed WC-121N Super Constellation,137891,United States Navy,0,off Puerto Rico,w/o
14-Aug-64,de Havilland Canada CV-2B Caribou (DHC-4),62-4151,United States Army,,13 km off Ceiba-Roosevelt Roads NAS,w/o
3-May-60,Curtiss C-46A-55-CK Commando,PP-NMD,Navegação Aérea Brasileira - NAB,5,Aguadilla-Ramey AFB (BQN),w/o
11-Apr-52,Douglas DC-4,N88899,Pan American World Airways (Pan Am),52,18 km NW off San Juan-Isla Grande Airport (SIG),w/o
4-Feb-50,Douglas C-47D,43-49143,United States Air Force - USAF,3,"7,2 km WNW off Roosevelt Roads-Roosevelt NAS (NRR)",w/o
7-Jun-49,Curtiss C-46D-5-CU Commando,NC92857,Strato-Freight,53,10 km W off San Juan-Isla Grande Airport (SIG),w/o
21-Jan-49,Lockheed P2V-2 Neptune,39323,United States Navy,0,Roosevelt Roads-Roosevelt NAS (NRR),w/o
2-Dec-46,Douglas C-54B-5-DO (DC-4),NC56743,Willis Air Service,0,San Juan-Isla Grande Airport (SIG),w/o
4-Jun-46,Douglas C-47B-40-DK (DC-3),44-77251,United States Army Air Force - USAAF,3,"2,4 km ESE of Aguadilla-Ramey AFB (BQN)",w/o
10-Sep-45,Douglas C-47A-25-DK (DC-3),42-93731,United States Army Air Force - USAAF,,10 km NW off Aguadilla-Borinquen Airport (BQN),w/o
19-Oct-44,Consolidated PBY-5A Catalina,48370,United States Navy,,San Juan NAS,w/o
5-May-44,Douglas C-47A-85-DL (DC-3),43-15515,United States Army Air Force - USAAF,,Aguadilla-Borinquen Airport (BQN),w/o
14-Feb-44,Douglas C-47A-70-DL (DC-3),42-100834,United States Army Air Force - USAAF,,Aguadilla-Borinquen Airport (BQN),w/o
1-Oct-42,Douglas C-39 (DC-2),38-524,United States Army Air Force - USAAF,22,24 km NW of Coamo,w/o
3-Oct-41,Sikorsky S-42B,NC15376,Pan American Airways (Pan Am),2,San Juan harbor,w/o
26-Mar-41,Sikorsky Y1OA-8 (S-43),37-374,United States Army Air Corps - USAAC,,Borinquen AAF (BQN),w/o
19-Feb-39,Sikorsky S-42A,NC15376,Pan American Airways (Pan Am),0,San Juan harbor,sub
8-Dec-17,Airbus A321-231,A7-AIB,Qatar Airways,0,Doha-Hamad International Airport (DOH),w/o
13-Mar-09,Boeing E-8C (707),93-0597,United States Air Force - USAF,0,near Qatar,w/o
11-May-85,Boeing 737-268 Advanced,,Saudi Arabian Airlines,0,Doha International Airport (DOH),sub
23-Dec-80,Lockheed L-1011 TriStar 200,HZ-AHJ,Saudi Arabian Airlines,2,over Qatar,sub
14-Mar-79,Boeing 727-2D3,JY-ADU,Alia Royal Jordanian Airlines,45,Doha Airport (DOH),w/o
29-Jun-77,Vickers VC10-1101,,Gulf Air,0,Doha Airport (DOH),non
15-Jul-24,ATR 72-600 (72-212A),YR-ATJ,TAROM,0,Oradea International Airport (LROD),sub
6-Nov-21,Antonov An-2R,YR-PMW,Asociatia Club Sportiv Skydiving Center,0,Letca Noua Airfield,sub
28-Aug-20,Boeing 767-324ER,N423AX,Omni Air International,0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU),sub
6-Jun-18,Antonov An-2R,YR-DAX,Aeroserv,0,"Baleni, Galati County",w/o
1-Aug-15,Antonov An-2R,YR-PEG,Aero West,1,Stancuta,w/o
20-Jan-14,IRMA/Britten-Norman BN-2A-27 Islander,YR-BNP,Scoala Superioara de Aviatie Civila,2,"3,6 km NE of Petreasa, Alba",sub
10-May-13,Antonov An-2R,YR-LRA,Aero Scoroget,0,Strehaia,sub
23-Apr-12,Antonov An-2R,YR-BOR,Aerogetic,0,Dârvari,sub
13-Feb-12,Saab 2000,YR-SBK,Carpatair,0,Craiova Airport (CRA),sub
5-Jul-10,Antonov An-2T,53,Fortele Aeriene Române,12,Tuzla Airfield,w/o
28-Feb-09,Saab 2000,YR-SBI,Carpatair,0,Timisoara Airport (TSR),min
16-Jan-09,IAI 1126 Galaxy,YR-TIG,Ion Tiriac Air,0,Oradea Airport (OMR),w/o
3-Jul-08,Antonov An-2,,Aero Getics,0,Stefanesti,w/o
10-May-08,Antonov An-2R,YR-PBL,Victor Avia,1,near Ulmeni,w/o
22-Apr-08,British Aerospace BAe-146-200,YR-BEB,"Carpatair, lsf Romavia",0,Bucharest-Otopeni International Airport (OTP),sub
9-Jan-08,British Aerospace BAe-146-200A,LZ-HBA,"Hemus Air, opf Blue Air",0,Bacau Airport (BCM/LRBC),sub
30-Dec-07,Boeing 737-38J,YR-BGC,Tarom,0,Bucharest-Otopeni International Airport (OTP),sub
14-Jun-06,Learjet 60,OE-GFA,Jetalliance Flugbetriebs,0,Bucharest-Baneasa Airport (BBU),sub
27-Jan-05,Let L-410UVP-E4,HA-LAR,Farnair Hungary,2,2 km from Iasi Airport (IAS),w/o
6-Dec-04,Gulfstream G-IV,N478GS,Centurion Aviation Services,0,Bucharest Baneasa Aurel Vlaicu International Airport (BBU),sub
30-Nov-99,Canadair CRJ-100LR,OE-LRE,Lauda Air,0,Timisoara Airport (LRTR),sub
14-Sep-99,Dassault Falcon 900B,SX-ECH,"Olympic Airways, lsf Elleniki Polemikí Aeroporía",7,FIR Bucharest,sub
28-Jun-98,IRMA/Britten-Norman BN-2B-20 slander,G-BVYE,Britten-Norman,0,near Bucharest,sub
22-Feb-96,Antonov An-24RV,YR-BMK,Autoritatea Aeronautica Civila Romana,8+2,8 km E of Baia Mare Airport (BAY),w/o
31-Mar-95,Airbus A310-324,YR-LCC,Tarom,60,3 km N of Bucharest-Otopeni International Airport (OTP),w/o
20-Sep-94,Antonov An-26,508,Fortele Aeriene Române,0,Oradea Airport (OMR),w/o
8-Jan-94,Beechcraft A100 King Air,OO-TLS,Travair,0,Bacau Airport (BCM),w/o
11-Nov-92,IRMA/Britten-Norman BN-2A-27 Islander,YR-BNS,Aviatia Utilitara,,Tulcea Airport (TCE),w/o
13-Aug-91,Ilyushin Il-18V,YR-IMH,Tarom,9,18 km from Uricani,w/o
10-Jan-91,Boeing 707-3K1C,YR-ABD,Romavia,0,Bucharest-Otopeni International Airport (OTP),w/o
28-Dec-89,Antonov An-24RV,YR-BMJ,Tarom,7,near Visina,w/o
14-Nov-89,Antonov An-2R,YR-PMG,Aviatia Utilitara,,Sânmartin,w/o
26-May-89,IRMA/Britten-Norman BN-2A-27 Islander,YR-BNJ,Aviatia Utilitara,4,near Boboc Air Base,w/o
9-Feb-89,Tupolev Tu-154B-2,YR-TPJ,Tarom,5,Bucharest-Otopeni International Airport (OTP),w/o
5-Sep-86,Antonov An-24RV,YR-AMF,Tarom,3,Cluj Airport (CLJ),w/o
25-Jan-82,Antonov An-24RV,YR-BMD,Tarom,7,Constanta Airport (CND),w/o
21-Jul-81,Antonov An-2R,YR-PVJ,Aviatia Utilitara,0,near Stupina,w/o
23-Oct-79,Antonov An-2R,YR-APF,Aviatia Utilitara,,Campina,w/o
17-Nov-78,Antonov An-24V,YR-AMP,Romanian Government,5,near Arad Airport (ARW),w/o
28-Aug-78,Antonov An-24V,YR-AMV,Romanian Government,0,Constanta-Kogalniceanu Airport (CND),w/o
23-Nov-77,Ilyushin Il-18V,HA-MOF,Malev Hungarian Airlines,0,Bucharest-Otopeni International Airport (OTP),w/o
21-Sep-77,Tupolev Tu-134,HA-LBC,Malev Hungarian Airlines,29,"6,3 km SW of Urziceni",w/o
27-Jun-77,IRMA/Britten-Norman BN-2A-27 Islander,YR-BNI,Aviatia Utilitara,5,Nucet,w/o
21-Apr-77,Ilyushin Il-18V,YR-IMI,Tarom,0,Bucharest-Otopeni International Airport (OTP),w/o
9-Apr-76,Antonov An-2,YR-ANF,Aviatia Utilitara,2,near Cobadin,w/o
1-Mar-76,VEB 14P,YR-ILO,Tarom,6,1 km W of Sibiu Airport (SBZ),w/o
9-Feb-76,Antonov An-24RV,YR-AMC,Tarom,0,Bacau Airport (BCM),sub
18-Jul-75,Antonov An-2,YR-ANE,Aviatia Utilitara,0,Mircea Voda,w/o
29-Dec-74,Antonov An-24RV,YR-AMD,Tarom,33,22 km S of Sibiu Airport (SBZ),w/o
20-Oct-74,Antonov An-2R,YR-APV,Aviatia Utilitara,1,Topraisar,w/o
15-Nov-71,Antonov An-24RV,YR-AMA,Tarom,0,Bucharest-Otopeni International Airport (OTP),w/o
7-Dec-70,BAC One-Eleven 424EU,YR-BCA,Tarom,19,5 km from Constanta-Kogalniceanu Airport (CND),w/o
4-Feb-70,Antonov An-24V,YR-AMT,"Tarom, lsf Romanian Government",20,Vladeasa mountain group,w/o
11-Aug-66,Lisunov Li-2,YR-TAN,Tarom,24,Lotrioara Valley,w/o
9-Oct-64,Ilyushin Il-14P,YR-ILB,Tarom,31,2 km S of Cugir,w/o
13-Jun-64,Lisunov Li-2P,YR-DAC,Tarom,24,10 km E of Bacau Airport (BCM),w/o
29-Jul-62,Antonov An-2T,YR-AND,Aviatia Utilitara,,Batanii Mici,w/o
9-Apr-62,Antonov An-2,YR-ANO,Aviatia Utilitara,,near Draganescu,w/o
8-Oct-60,Lisunov Li-2,YR-TAX,Tarom,,Mironeasa-Iassy,w/o
15-Nov-50,Lisunov Li-2P,YR-TAA,Transporturile Aeriene Romano-Sovietice - TARS,,Fagaras Mountains,w/o
13-Aug-47,Lisunov Li-2,YR-TAV,Transporturile Aeriene Romano-Sovietice - TARS,3,Bucharest-Baneasa Airport (BBU),w/o
unk. date 1944,Potez 62,YR-NQM,LARES - Liniile Aeriene Române Exploatate de Stat,,,w/o
xx Aug 1944,Douglas DC-2-115F,YR-GAD,LARES - Liniile Aeriene Române Exploatate de Stat,0,Boteni,w/o
10-May-44,Junkers Ju-52/3m,PO+GO,Luftwaffe,3,9 km NNW of Orsova,w/o
5-May-44,Junkers Ju-52/3m,4V+BL,Luftwaffe,4,Jijilis,w/o
16-Apr-44,Junkers Ju-52/3m,,Luftwaffe,27,9 km W of Orsova,w/o
21-Dec-43,Junkers Ju-52/3m,,Luftwaffe,3,"Văliug (Franzdorf), Semenic mountains",w/o
19-Jun-41,Douglas DC-3-227,YR-PAF,LARES - Liniile Aeriene Române Exploatate de Stat,0,Bucharest,sub
23-Apr-41,Junkers Ju-52/3m,,Luftwaffe,1,south Karpathia,w/o
21-Apr-41,Junkers Ju-52/3m,NO+RH,Luftwaffe,16,"Deva, Apuseni Mountains",w/o
17-Jan-41,Junkers Ju-52/3mg3e,HA-JUA,Malert - Magyar Légiforgalmi Rt.,12,near Nagyvárad (Oradea),w/o
23-Aug-40,Douglas DC-3-227,YR-PIF,LARES - Liniile Aeriene Române Exploatate de Stat,11,near Risculita,w/o
24-Jul-40,Lockheed 14-H2 Super Electra,SP-BPK,LOT Polskie Linie Lotnicze,,Bucharest-Baneasa,w/o
23-May-40,Junkers Ju-52/3mba,YR-ABF,LARES - Liniile Aeriene Române Exploatate de Stat,,Bazargio-Dobruja,w/o
18-Aug-38,Lockheed 14-H Super Electra,SP-BNJ,LOT Polskie Linie Lotnicze,0,Bucharest-Baneasa Airport (BBU),w/o
22-Jul-38,Lockheed 14-H Super Electra,SP-BNG,LOT Polskie Linie Lotnicze,14,"Negrileasa, Stulpicani, Suceava",w/o
6-Aug-37,Douglas DC-2-152,URSS-M25,"Aeroflot, International Civil Aviation Directorate",6,"near Herina, Bistrita-Nasaud County",w/o
19-Dec-24,Antonov An-2R,RA-33555,Faeravia,0,"Mount Tundrovaya, Ust-Kamchatsky Raion, Kamchatka Krai",sub
10-Dec-24,Antonov An-2R,RA-40418,Mobil Avia,0,"1 km from Tambey Airstrip, Yamal-Nenets Autonomous District",sub
27-Oct-24,Antonov An-2TP,RA-33623,Aviakhim Yugtost 26,0,"2 km W of Yessentuki Airfield, Stavropol Krai",sub
13-Oct-24,Antonov An-3T,RA-05884,Borus Aircompany,1,"near Olyokminsk Airport (OLZ/UEMO), Republic of Sakha (Yakutia)",sub
31-Aug-24,Antonov An-2T,RF-02346,DOSAAF,0,"between Mairamadag and Koban, Republic of North Ossetia–Alania",w/o
23-Aug-24,Antonov An-2R,RA-33305,Gold of Ynykchan,0,"5 km from Solnechny, Yakutia",sub
12-Jul-24,Sukhoi Superjet 100-95LR,RA-89049,Gazpromavia,3,"Ozyorsky District, Moskow Region",w/o
5-Jul-24,Antonov An-2R,RA-40983,Wings of Taiga,0,Khiloksky district of Transbaikal Territory,sub
14-Jun-24,Antonov An-26-100,RA-26662,UTair Airlines,0,1 km from Utrenny Airport (USDM),sub
19-May-24,Airbus A320-214,RA-73832,Ural Airlines,0,Ekaterinburg-Koltsovo Airport (SVX/USSS),non
12-Mar-24,Ilyushin Il-76MD,RF-76551,Russian Air Force,16,"near Ivanovo Severny Air Base, Ivanovo Oblast",w/o
14-Jan-24,Ilyushin Il-22M-11RT,RF-95678,Russian Air Force,1,near Anapa,sub
10-Nov-23,Antonov TR-301,RA-84566,Stryzh Avia,0,"15 km SW of Polyarny, Chukotka",w/o
1-Nov-23,Antonov An-2R,RA-71196,KavMinVody Avia ?,0,Mineralnye Vody Airport (MRV/URMM),sub
23-Aug-23,Embraer EMB-135BJ Legacy 600,RA-02795,"MNT-Aero, opf Wagner Group",10,"near Kuzhenkino, Tver Region",w/o
6-Jul-23,Antonov An-2R,RA-02241,Aircompany Parma,0,"near Chuvashi village, Kirovo-Chepetsky district, Kirov region",sub
11-Jan-23,Antonov An-2R,RA-17789,Stavropol City Aviation Sports Club,0,"near Novomaryevskaya, Stavropol Region",w/o
9-Jan-23,Antonov An-2R,RA-71165,Naryan-Mar Air Enterprise,2,10 km SW of Karatayka,w/o
2-Sep-22,Antonov An-2R,RA-56534,2nd Arkhangelsk United Aviation Division,0,Nes,sub
17-Aug-22,Antonov An-24B,RA-47848,Angara Airlines,0,Ust-Kut Airport (UKX),sub
15-Jul-22,Antonov An-2R,RA-02240,private,2,"Prochnookopskaya, Novokubansky district, Krasnodar region",sub
xx Jun 2022,Antonov An-2R,RA-17951,Voskhod LLC,0,near Oymyakon Airfield,sub
24-Jun-22,Ilyushin Il-76MD,RF-78778,Russian Air Force,5,5 km ESE of Ryazan-Dyagilevo Air Base,w/o
22-Jun-22,Antonov An-30M,30001,NPP Mir,0,70 km SE of Olenyok Airport (ONK),sub
21-Jun-22,Antonov An-2R,RA-17742,Techservice,2,"46 km SE of Sebyan-Kyuel, Kobyaysky District",w/o
24-Feb-22,Antonov An-26,RF-36074,Russian Air Force,,"near Ostrogozhsk, Voronezh Region",w/o
11-Feb-22,Antonov An-2R,RA-33599,Kamchatsky Krechet,2,"1 km SW of Koryaki, Yelizovsky district, Kamchatka",w/o
3-Nov-21,Antonov An-12BK,EW-518TI,Grodno Aircompany,9,3 km SE of Irkutsk Airport (IKT),w/o
19-Oct-21,Antonov An-2R,RA-33350,AeroUral,0,"near Alapayevsk, Sverdlovsk region",sub
10-Oct-21,Let L-410UVP-E3,RF-94591,DOSAAF,16,"1,7 km E of Menzelinsk Airport",w/o
22-Sep-21,Antonov An-26KPA,RA-26673,LPS Flight Checks & Systems,6,40 km SW of Khabarovsk,w/o
12-Sep-21,Let L-410UVP-E20,RA-67042,"Aeroservice, opf SiLA - Siberian Light Aviation",4,3 km N of Kazachinskoye Airport,w/o
17-Aug-21,Ilyushin Il-112V,41400,United Aircraft Corporation,3,near Kubinka AFB,w/o
16-Jul-21,Antonov An-28,RA-28728,SiLA - Siberian Light Aviation,0,52 km SE of Kedrovo,sub
6-Jul-21,Antonov An-26B-100,RA-26085,Kamchatka Aviation Enterprise,28,"3,8 km NW of Palana Airport",w/o
24-Jun-21,Antonov An-2R,RA-01430,private,0,"3,5 km W of Zaboyskiy, Slavyansky district",sub
19-Jun-21,Let L-410UVP-E,RF-94603,DOSAAF,5,near Tanay Airfield,w/o
21-May-21,Antonov An-2R,RA-33373,Utair,0,Laytamak Airstrip,sub
8-Apr-21,Antonov An-2,RA-40...,Unknown,0,Omsk,w/o
9-Feb-21,Antonov An-12BK,RF-95416,Russian Air Force,0,Iturup Airport (ITU),sub
13-Nov-20,Antonov An-124-100,RA-82042,Volga-Dnepr Airlines,0,Novosibirsk-Tolmachevo Airport (OVB),sub
1-Aug-20,Airbus A321-211 (WL),VP-BAX,Aeroflot Russian International Airlines,0,Moskva-Sheremetyevo Airport (SVO),sub
19-Jul-20,Antonov An-2R,RA-71276,Phoenix,6,"30 km W of Tagarkhay, Buryatia region",w/o
13-Jul-20,Antonov An-2R,RA-40851,Zeus-Avia,2,"0,4 km SE of Kistenevo, Bolsheboldinsky district, Nizhny Novgorod region",w/o
14-Jun-20,Airbus A320-232,VP-BDL,Ural Airlines,0,Saint Petersburg-Pulkovo Airport (LED),sub
14-Jun-20,Airbus A320-271N,VP-BWC,S7 Airlines,0,Saint Petersburg-Pulkovo Airport (LED),min
20-Feb-20,Antonov An-2T,RA-40642,T-Cement,0,Magadan-13 Airport,sub
9-Feb-20,Boeing 737-524 (WL),VQ-BPS,Utair,0,Usinsk Airport (USK),sub
30-Aug-19,Antonov An-2R,RA-33061,private,2,Lake Syuryun-Kyuel area,w/o
28-Aug-19,Antonov An-2R,RA-40389,private,0,"Selektsionny, Lgovsky district, Kursk region",sub
15-Aug-19,Airbus A321-211,VQ-BOZ,Ural Airlines,0,ca 5 km SE of Zhukovsky International Airport (ZIA),sub
16-Jul-19,Antonov An-2,RA-3098K,Unknown,0,"Novoshchedrinskaya, Chechnya",w/o
9-Jul-19,Antonov An-2,unreg.,Unknown,0,"near Raduga, Novoaleksandrovsk District",sub
30-Jun-19,Antonov An-2T,RF-00105,"DOSAAF, Gvardeysky ATSK",0,near Gvardeysky,sub
27-Jun-19,Antonov An-24RV,RA-47366,Angara Airlines,2,Nizhneangarsk Airport,w/o
9-Jun-19,Antonov An-2R,RA-81519,Feniks,0,"50 km NE of Kyren, Tunkinsky District",sub
22-May-19,Antonov An-2R,RA-68161,private,0,Zhuravskoye,w/o
5-May-19,Sukhoi Superjet 100-95B,RA-89098,Aeroflot Russian International Airlines,41,Moskva-Sheremetyevo Airport (SVO),w/o
4-May-19,Antonov An-2R,RA-01443,Voskhod LLC,0,"Vyun, Tomponsky region",sub
