acc. date,type,reg.,operator,fat.,location,dmg
17-Jun-80,Antonov An-26,229,Soviet Air Force,,Kabul Airport (KBL),w/o
14-Jun-80,Antonov An-26,235,Democratic Republic of Afghanistan Air Force - DRAAF,0,Khost Airport (KHT),w/o
7-Jan-80,Antonov An-12BP,,Soviet Air Force,1,Kabul Airport (KBL),sub
25-Dec-79,Ilyushin Il-76M,CCCP-86036,Soviet Air Force,48,36 km from Kabul,w/o
18-Apr-73,de Havilland Canada DHC-6 Twin Otter 100,YA-GAT,Bakhtar Afghan Airlines,4,Bamyan Airport (BIN),w/o
25-Jan-72,Yakovlev Yak-40,YA-KAD,Bakhtar Afghan Airlines,0,near Khost Airport (KHT),sub
15-Jan-69,Douglas C-47-DL (DC-3),YA-AAB,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
12-Dec-63,Douglas C-54A-15-DC (DC-4),OD-AEB,Trans Mediterranean Airways - TMA,3,93 km W of Ghazni,w/o
25-Feb-63,Douglas C-47-DL (DC-3),YA-AAA,Ariana Afghan Airlines,0,"Mohammad Agha, Logar Province",w/o
2-Jan-62,Douglas C-47-DL (DC-3),EP-ABB,Iran Air,0,Kabul Airport (KBL),w/o
31-Mar-05,Lockheed MC-130H Combat Talon II,87-0127,United States Air Force - USAF,9,near Rovie,w/o
11-Jun-99,Lockheed Hercules C.1 (C-130K),XV298,Royal Air Force - RAF,0,Kukes,w/o
16-Aug-69,Douglas DC-3,SX-BBF?,Olympic Airways,0,Valona,unk
21-Jun-44,Douglas C-47A-15-DL (DC-3),42-23405,United States Army Air Force - USAAF,6,unknown,w/o
8-Nov-43,Douglas C-53D-DO (DC-3),42-68809,United States Army Air Force - USAAF,0,within Albania,w/o
8-Nov-43,Douglas C-53D Skytrooper (DC-3),,United States Army Air Force - USAAF,0,within Albania,w/o
3-Aug-24,Bombardier DHC-8-402Q Dash 8,7T-VCL,Tassili Airlines,0,Illizi,sub
1-Mar-21,ATR 72-500 (72-212A),7T-VUK,Air Algérie,0,Ghardaïa-Noumérat Airport (GHA),unk
3-Mar-19,Beechcraft 1900D,7T-VIO,Tassili Airlines,0,Ouargla-Ain Beida Airport (OGX),sub
3-Jun-18,Lockheed C-130H Hercules,7T-WHT,Al Quwwat al-Jawwiya al-Jaza'eriya,1,near Biskra Airport (BSK),w/o
11-Apr-18,Ilyushin Il-76TD,7T-WIV,Al Quwwat al-Jawwiya al-Jaza'eriya,257,near Boufarik Air Base,w/o
25-Oct-14,Learjet 35A,D-CFAX,FAI Air Service,0,Tamanrasset-Aguemar Airport (TMR),sub
30-Aug-14,Antonov An-12BK,UR-DWF,Ukraine Air Alliance,7,15 km S of Tamanrasset Airport (TMR),w/o
11-Feb-14,Lockheed C-130H-30 Hercules,7T-WHM,Al Quwwat al-Jawwiya al-Jaza'eriya,76,near Aïn Kercha,w/o
14-Mar-08,Boeing 737-8D6,7T-VKA,Air Algérie,0,Sétif-Ain Arat Airport (QSF),sub
19-Nov-04,de Havilland Canada DHC-6 Twin Otter 300,HB-LOK,Zimex Aviation,0,Menzel Lejmat North,sub
28-Jan-04,Beechcraft 1900D,7T-VIN,Tassili Airlines,1,5 km S of Ghardaïa-Noumérat Airport (GHA),w/o
19-Aug-03,Boeing 737,,Air Algérie,0,Oran-es Senia Airport (ORN),non
30-Jun-03,Lockheed C-130H Hercules,7T-WHQ,Al Quwwat al-Jawwiya al-Jaza'eriya,5+10,Blida,w/o
6-Mar-03,Boeing 737-2T4,7T-VEZ,Air Algérie,102,Tamanrasset Airport (TMR),w/o
19-Jan-03,Boeing 737-8D6,,Air Algérie,0,Algiers-Houari Boumediene Airport (ALG),non
31-Jan-99,Boeing 727-2D6,7T-VEH,Air Algérie,0,Constantine-Ain el Bey Airport (CZL),w/o
2-Aug-96,Boeing 737-2D6C,7T-VED,Air Algérie,0,Tlemcen  Airport (TLM),sub
25-Jul-96,Boeing 767-3D6,,Air Algérie,0,Oran-Es Senia Airport (ORN),non
22-Sep-95,Learjet 36A,HB-VFS,Executive Jet Aviation,0,In Amenas Airport (IAM),w/o
18-Sep-94,BAC One-Eleven 515FB,5N-IMO,Oriental Airlines,5,Tamanrasset-Aguemar Airport (TMR),w/o
25-Jul-91,Fokker F-27 Friendship 400M,7T-VRM,Air Algérie,0,In Guezzam Airport (INF),w/o
31-Mar-91,Boeing 737,,Air Algérie,0,Algiers-Houari Boumediene Airport (ALG),non
28-Dec-90,Boeing 737,,Air Algérie,0,Annaba Airport (AAE),non
23-Aug-89,Airbus A300B4-203,F-BVGO,Air France,0,Algiers-Houari Boumediene Airport (ALG),non
1-Aug-89,Lockheed L-100-30 Hercules,7T-VHK,Air Algérie,0,Tamanrasset-Aguemar Airport (TMR),w/o
5-Apr-88,Boeing 747-269B,9K-ADB,Kuwait Airways,2,Algiers-Houari Boumediene Airport (ALG),unk
24-Jan-79,Nord 262A-44,7T-VSU,Air Algérie,14,15 km from Béchar-Leger Airport (CBH),w/o
8-Feb-78,Douglas C-49J (DC-3),N189UM,Aero Services Corp.,0,Tamanrasset-Aguemar Airport (TMR),w/o
28-Sep-77,McDonnell Douglas DC-8-62,JA8033,Japan Air Lines - JAL,0,Algiers-Dar el Beida Airport (ALG),non
2-May-76,Convair CV-640,7T-VAH,Air Algérie,0,Djanet-Inedbirenne Airport (DJG),w/o
23-Sep-73,Sud Aviation SE-210 Caravelle III,7T-VAI,Air Algérie,0,Algiers-Dar el Beida Airport (ALG),w/o
31-Jul-72,McDonnell Douglas DC-8,,Delta Air Lines,0,Algiers,unk
2-Jun-72,Boeing 727-200,,Western Air Lines,0,Algiers,unk
26-Jul-69,Sud Aviation SE-210 Caravelle VI-N,7T-VAK,Air Algérie,33,near Hassi Messaoud Airport (HME),w/o
23-Jul-68,Boeing 707-458,4X-ATA,El Al Israel Airlines,0,Algiers-Dar el Beida Airport (ALG),non
11-Apr-67,Douglas DC-4,7T-VAU,Air Algérie,35,near Tamanrasset Airport (TMR),w/o
11-Jun-65,Douglas C-54A-15-DC (DC-4),7T-VAC,Air Algérie,,Algiers-Dar el Beida Airport (ALG),w/o
26-Sep-63,Douglas C-47A-30-DK Dakota III,F-BHKU,Air France,,Oran,w/o
22-May-63,Douglas C-47B-5-DK (DC-3),F-OAVR,Air Algérie,,Hassi Messaoud Airport (HME),w/o
23-May-62,Nord 2501 Noratlas,62,L'Armée de L'Air,,Algiers,w/o
20-Mar-62,Nord 2501 Noratlas,204,L'Armée de L'Air,11,80 km SE of Algiers,w/o
10-May-61,Lockheed L-1649A Starliner,F-BHBM,Air France,78,100 km N of Edjele,w/o
7-Apr-61,Breguet 761S,1/F-RAPA,L'Armée de L'Air,0,Reggan Airport,w/o
5-Apr-61,Douglas C-47A-85-DL (DC-3),315545/FSDZB,L'Armée de L'Air,0,Blida Airport,w/o
16-Sep-60,Nord 2501 Noratlas,22,L'Armée de L'Air,11,NW of Batna,w/o
15-Jan-60,Nord 2501 Noratlas,102,L'Armée de L'Air,5,12 km S of Ghardaïa,w/o
